id,clean_title,stemmed_body,category
64112,hoaks warga kejar pocong begal di kabupaten jombang,jelas edar unggah media sosial facebook buah foto klaim lihat warga kabupaten jombang provinsi jawa timur kejar pocong begal tengah sawah narasi serta unggah sebut sosok pocong sebut sering ketuk pintu rumah warga malam hari hingga akhir kejar tangkap warga anggap resah fakta klaim sebut benar lansir kompascom foto warga kejar pocong begal sebut rupa konten manipulatif buat guna teknologi cerdas buat artificial intelligence ai hasil periksa alat deteksi ai tunjuk gambar milik probabilitas tinggi gambar generatif itu polisi kabupaten jombang tegas tidak ada kasus pocong begal yang klaim unggah link counter,Klarifikasi Hoaks
64111,hoaks surat pemberitahuan polres kupang soal adanya penculikan anak,jelas edar buah unggah media sosial facebook klaim polres kota kupang provinsi nusa tenggara timur keluar surat pemberitahuan kait ada culi anak surat kapolres kupang akbp rudy junus jacob ledo imbau masyarakat awas anak ada kasus culi wilayah desa oelebo kabupaten kupang fakta klaim sebut benar lansir tribunnewscom kasi humas polres kupang ipda lalu randy hidayat pasti informasi sebut benar randy sebut polres kupang pernah keluar surat pemberitahuan imbau soal ada culi anak dalam unggah edar link counter,Klarifikasi Hoaks
64109,hoaks akun whatsapp mengatasnamakan ajudan bupati garut abdusy syakur amin,jelas edar media sosial whatsapp nomor mengatasnamakan ajudan bupati garut abdusy syakur amin fakta nomor sebut bukan nomor ajudan bupati garut lansir akun instagram garut saber hoaks garutsaberhoaks nomor sebut tipu waspada nomor tidak kenal aku orang karena besar mungkin adalah modus tipu link counter,Klarifikasi Hoaks
64108,hoaks petani sawit tewas tertimpa pohon,jelas edar unggah media sosial facebook isi foto klaim lihat orang tani sawit tewas timpa pohon unggah sebut serta narasi dramatis detikdetik korban tinggal dunia timpa pohon tidak cantum lokasi maupun waktu jadi jelas fakta klaim sebut tidak benar lansir kompascom hasil verifikasi tunjuk foto edar bukan peristiwa tani sawit timpa pohon foto sebut asal jadi davao occidental filipina juli timpa orang ibu hamil usia tahun korban tinggal dunia timpa pohon kelapa tumbang jalan pulang usai cuci sumur dekat rumah peristiwa juga sebab bayi kandung anjing pelihara tinggal dunia link counter,Klarifikasi Hoaks
64107,hoaks ratusan purnawirawan duduki mpr ri desak percepat pemakzulan gibran,jelas edar unggah media sosial facebook klaim jumlah purnawirawan duduk gedung mpr ri desak cepat makzul wakil presiden gibran fakta klaim sebut benar lansir turnbackhoaxid laku telusur guna mesin cari google masuk kata kunci purnawirawan duduk mpr ri desak makzul gibran hasil temu artikel kompascom judul bagaimana sikap mpr kait surat makzul gibran tayang jumat juni artikel sebut jelas mpr ri tunggu proses mekanisme konstitusional kait surat makzul wakil presiden ri gibran rakabuming raka wakil ketua mpr ri hidayat nur wahid sebut usul sebut lalu proses konstitusional panjang mulai bahas dpr ri lanjut mahkamah konstitusi lalu ke dpr dapat bahas mpr ri sebut ada aksi ratus purnawirawan duduk gedung mpr ri cari lanjut tidak temu informasi kredibel benar klaim sebut link counter,Klarifikasi Hoaks
64106,hoaks pemprov ntb rilis imbauan waspada penculikan anak di lombok,jelas edar unggah media sosial facebook narasi klaim perintah provinsi nusantara tenggara timur pemprov ntb keluar flyer isi imbau waspada culi anak lombok flyer tampil beberapa modus laku para culik laku aksi fakta klaim sebut benar diansir kompascom kepala dinas komunikasi informatika statistik diskominfotik provinsi ntb ahsanul khalik tegas flyer sebut bukan asal pemprov ntb ahsanul minta masyarakat tetap tenang tidak mudah pancing informasi sumber tidak jelas sebut juga imbau masyarakat jangan mudah percaya jangan ikut sebar informasi belum verifikasi link counter,Klarifikasi Hoaks
64105,hoaks tautan pendaftaran lowongan kerja honda,jelas edar media sosial tiktok unggah video serta narasi buka lowong kerja baru honda fakta laku telusur bio profil tahu taut arah halaman curiga isi formulir digital minta isi data pribadi nama alamat nomor telegram kemudian masuk kata kunci daftar lowong kerja honda mesin cari google hasil telusur arah laman resmi ahm career recruitmentastrahondacom tahu pihak honda tekan info lowong kerja panggil proses seleksi umum lalu email resmi laman rekrutmen astra honda motor akun resmi instagram ahmcareer link counter,Klarifikasi Hoaks
64104,hoaks jokowi dinobatkan jadi salah satu alumni terbaik ugm,jelas edar unggah media sosial facebook isi narasi klaim presiden republik indonesia joko wiodo jokowi nobat salah satu alumni baik universitas gadjah mada ugm unggah sebut serta foto jokowi lingkung kampus ugm narasi sindir pihakpihak masih ragu asli ijazah fakta klaim sebut benar lansir turnbackhoaxid tidak temu nyata maupun publikasi resmi universitas gadjah mada sebut jokowi nobat salah satu alumni baik ugm foto guna unggah nyata asal dokumentasi giat jokowi hadir acara dies natalis fakultas hutan ugm oktober bukan momen beri harga alumni baik link counter,Klarifikasi Hoaks
64103,hoaks menhan sjafrie umumkan program bantuan untuk para pensiunan,jelas edar buah unggah video media sosial facebook klaim menteri tahan sjafrie sjamsoeddin umum program dana bantu perintah para kerja telah pensiun fakta klaim sebut tidak benar lansir kompascom telusur guna google lens hasil video sebut identik unggah kanal youtube kompas tv judul jaksa agung menhan sjafrie menteri nusron kuasa kawasan hutan juta hektar video adalah momen sjafrie pidato acara serah kusa kawasan hutan sawit luas juta hektar juli jabat menteri tahan sjafrie rupa ketua arah satgas tertib kawasan hutan itu cek guna undetectable suara sjafrie umum dana bantu kerja telah pensiun deteksi hasil cerdas buat artificial intelligence ai link counter,Klarifikasi Hoaks
64102,hoaks kemensos anggarkan bingkai foto rp miliar di tengah prioritas pendidikan,jelas edar unggah media sosial instagram narasi klaim menteri sosial kemensos anggar bingkai foto sekolah rakyat rp miliar unggah dapat foto menteri sosial saifullah yusuf sama orang dagang toko kutip menteri sosial arah konteks gratifikasi fakta klaim unggah sebut tidak benar menteri sosial lalu kepala biro hubung masyarakat devi dian konfirmasi taut sebut kandung informasi salah informasi sesat bisa giring opini tidak baik instansi masyarakat menteri sosial sudah beri klarifikasi baik lalu konten rilis resmi bagai platform resmi menteri sosial kait ada sekolah rakyat link counter klarifikasi langsung menteri sosial lalu kepala biro hubung masyarakat devi dian surat nomor hm,Klarifikasi Hoaks
